Level	TabIndex	ControlIndex	TableID	Caption	AlignTop	AlignLeft	Height	Width	FontName	FontSize	FontBold	FontItalic	FontColor	Color	ImageFileName	TableImage	TableImageFileType	LayoutModeType	TableName	TakeOut	Delivery	Online	StayOn	ApplySpecialPricing	SpecialPricingRate	BellNumber	StationID	OnlineOrderCompanyID	AccessPermissionRequired
0	0	0	0	Sushi Hama      	0	0	0	0	Arial	12	1	0	-16777208	12632256				1		0	0	0	0	0	0	0	0	0	0
1	0	0	202	TakeOut #2	22	775	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #2	1	0	0	0	0	0	0	0	0	0
1	0	1	204	TakeOut #4	137	659	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #4	1	0	0	0	0	0	0	0	0	0
1	0	2	206	TakeOut #6	137	890	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #6	1	0	0	0	0	0	0	0	0	0
1	0	3	205	TakeOut #5	137	775	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #5	1	0	0	0	0	0	0	0	0	0
1	0	4	207	TakeOut #7	252	659	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #7	1	0	0	0	0	0	0	0	0	0
1	0	5	209	TakeOut #9	252	890	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #9	1	0	0	0	0	0	0	0	0	0
1	0	6	208	TakeOut #8	252	775	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #8	1	0	0	0	0	0	0	0	0	0
1	0	7	210	TakeOut #10	367	659	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #10	1	0	0	0	0	0	0	0	0	0
1	0	8	212	TakeOut #12	367	890	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #12	1	0	0	0	0	0	0	0	0	0
1	0	9	211	TakeOut #11	367	775	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #11	1	0	0	0	0	0	0	0	0	0
1	0	10	214	TakeOut #14	482	775	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #14	1	0	0	0	0	0	0	0	0	0
1	0	11	215	TakeOut #15	482	890	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #15	1	0	0	0	0	0	0	0	0	0
1	0	12	213	TakeOut #13	482	659	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #13	1	0	0	0	0	0	0	0	0	0
1	0	13	201	TakeOut #1	22	659	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #1	1	0	0	0	0	0	0	0	0	0
1	0	14	203	TakeOut #3	22	890	110	110	Arial	14	1	0	-16777208	8454016				1	TakeOut #3	1	0	0	0	0	0	0	0	0	0
1	0	15	0		5	625	622	20	Arial	12	1	0	-16777208	0				1		0	0	0	0	0	0	0	0	0	0
1	0	16	16	T 4	92	74	85	100	Arial	14	1	0	-16777208	16749973				1	T 4	0	0	0	0	0	0	0	0	0	0
1	0	17	3	T 7	5	522	85	100	Arial	14	1	0	-16777208	16749973				1	T 7	0	0	0	0	0	0	0	0	0	0
1	0	18	5	T 10	189	522	85	100	Arial	14	1	0	-16777208	16749973				1	T 10	0	0	0	0	0	0	0	0	0	0
1	0	19	9	T 11	280	522	85	100	Arial	14	1	0	-16777208	16749973				1	T 11	0	0	0	0	0	0	0	0	0	0
1	0	20	12	T 12	368	522	85	100	Arial	14	1	0	-16777208	16749973				1	T 12	0	0	0	0	0	0	0	0	0	0
1	0	21	8	T 14	545	522	85	100	Arial	14	1	0	-16777208	16749973				1	T 14	0	0	0	0	0	0	0	0	0	0
1	0	22	11	T 13	456	522	85	100	Arial	14	1	0	-16777208	16749973				1	T 13	0	0	0	0	0	0	0	0	0	0
1	0	23	6	T 8	96	522	85	100	Arial	14	1	0	-16777208	16749973				1	T 8	0	0	0	0	0	0	0	0	0	0
1	0	24	2	T 9	96	420	85	100	Arial	14	1	0	-16777208	16749973				1	T 9	0	0	0	0	0	0	0	0	0	0
1	0	25	7	T 18	210	322	85	100	Arial	14	1	0	-16777208	16749973				1	T 18	0	0	0	0	0	0	0	0	0	0
